titulo,texto,categoria
"O Windows 2000 foi uma versão do Microsoft Windows, preempti","O Windows 2000 foi uma versão do Microsoft Windows, preemptivo, gráfico e de fácil aprendizagem que foi desenvolvido para trabalhar com um ou mais processadores de 32 bits em computadores na arquitetura x86 e 64 bits na arquitetura IA64. É parte de uma linha de sistemas operacionais da Windows NT da Microsoft e foi lançado em 17 de fevereiro de 2000, sendo o sucessor do Windows NT 4.0. Ele está disponível em quatro versões: Professional, Server, Advanced Server e Datacenter Server. Adicionalmente, a Microsoft oferece o Windows 2000 Advanced Server - Edição Limitada, que foi lançado em 2001 e roda em processadores de 64 bits Itanium. O Windows 2000 é classificado com um sistema operacional de núcleo híbrido, e sua arquitetura é dividida em dois modos: usuário e núcleo. O ""modo núcleo"" dá acesso total aos recursos do sistema e suporta a execução das aplicações em modo usuário, com acesso restrito aos recursos. Em 2008, o Windows 2000 ou posterior continuava sendo altamente predominante em ambientes de computação corporativa, sendo utilizado em 98,5% das 263 estações de trabalho corporativas pesquisadas.
Todas as versões do Windows 2000 possuem em comum muitas funcionalidades, incluindo muitas utilidades de sistema como o Microsoft Management Console (MMC) e sistemas de gerenciamento de aplicação como o utilitário de desfragmentação de disco.
Todas as versões do Windows 2000 suportam o sistema de arquivos Windows NT versão 5 ou NTFS 5 (New Tecnology File System), o sistema de arquivos criptografado (EFS), também armazenamento em discos básicos ou dinâmicos. O armazenamento em discos dinâmicos permite que diferentes volumes sejam utilizados. A família 2000 Server também teve um aumento de funcionalidades, incluindo a capacidade de ter um serviço de diretório único: o Active Directory, Distributed File System (um sistema de arquivos que possibilita compartilhamento de arquivos) e armazenamento em volumes com tolerância à falhas.
O Windows 2000 pode ser instalado numa empresa através de instalações interativas ou não interativas. A instalação não interativa se baseia no uso de um arquivo de resposta que tem a finalidade de preencher as informações de instalação, e pode ser utilizado através de um CD ""bootável"" usando o Microsoft Systems Management Server (SMS), através do System Preparation Tool (Sysprep).",Cloud/Infra
Automação de teste é o uso de software para controlar a exec,"Automação de teste é o uso de software para controlar a execução do teste de software, a comparação dos resultados esperados com os resultados reais, a configuração das pré-condições de teste e outras funções de controle e relatório de teste. De forma geral, a automação de teste pode iniciar a partir de um processo manual de teste já estabelecido e formalizado. Dominar este conhecimento diferencia profissionais em qualquer segmento do mercado.",QA
"O ciclo de vida de desenvolvimento de sistemas (CVDS), do in","O ciclo de vida de desenvolvimento de sistemas (CVDS), do inglês systems development life cycle (SDLC), é, em engenharia de sistemas, sistemas de informação e engenharia de software, um processo de criação ou alteração de sistemas de informação, bem como os modelos e metodologias que as pessoas utilizam para desenvolver esses sistemas. Em engenharia da computação, o conceito de CVDS sustenta muitos tipos de metodologias de desenvolvimento de software. Essas metodologias formam a estrutura (framework) para o planejamento e controle da criação de um sistema de informação: o processo de desenvolvimento de software. O CVDS é utilizado por um analista de sistemas para desenvolver um sistema de informação. Visa produzir um sistema de alta qualidade que atenda ou exceda as expectativas do cliente, seja concluído dentro do tempo",QA
O Modelo em Cascata (do inglês: Waterfall Model) é um modelo,"O Modelo em Cascata (do inglês: Waterfall Model) é um modelo de desenvolvimento de software sequencial no qual o processo é visto como um fluir constante para frente (como uma cascata) através das fases de análise de requisitos, projeto, implementação, testes (validação), integração, e manutenção de software. A origem do termo cascata é frequentemente citado como sendo um artigo publicado em 1970 por W. W. Royce; ironicamente, Royce defendia um abordagem iterativa para o desenvolvimento de software e nem mesmo usou o termo cascata. Royce originalmente descreve o que é hoje conhecido como o modelo em cascata como um exemplo de um método que ele argumentava ser um risco e um convite para falhas. O modelo em cascata apresenta uma grande vantagem quando o escopo do trabalho é claramente definido, como licitações e serviços específicos para órgãos públicos, neste cenário o modelo em cascata leva vantagem. Entretanto percebe-se a fragilidade do modelo nos dias de hoje em virtude da pouca ou quase nenhuma flexibilidade do modelo, daí então surgem os modelos lineares e iterativos.",QA
A segurança da informação (SI) está diretamente relacionada ,"A segurança da informação (SI) está diretamente relacionada com proteção de um conjunto de informações, no sentido de preservar o valor que possuem para um indivíduo ou uma organização. São propriedades básicas da segurança da informação: confidencialidade, integridade, disponibilidade, autenticidade e legalidade.
A SI não está restrita somente a sistemas computacionais, informações eletrônicas ou sistemas de armazenamento. O conceito aplica-se a todos os aspectos de proteção de informações e dados. O conceito de Segurança Informática ou Segurança de Computadores está intimamente relacionado com o de Segurança da Informação, incluindo não apenas a segurança dos dados/informação, mas em si o sistema.
Atualmente o conceito de Segurança da Informação está padronizado pela norma ISO/IEC 17799:2005, influenciada pelo padrão inglês (British Standard) BS 7799. A norma técnica de segurança da informação em vigor é: ABNT NBR ISO/IEC 27002:2013 Dominar este conhecimento diferencia profissionais em qualquer segmento do mercado.",Ciberseguranca
"Cracker (aportuguesado como cráquer), ou ciberpirata, é o te","Cracker (aportuguesado como cráquer), ou ciberpirata, é o termo usado para designar o indivíduo com grande conhecimento de informática que pratica a quebra (ou cracking) de um sistema de segurança de forma ilegal (crime informático) ou a quebra sem ética. Este termo",Ciberseguranca
"O ciclo de vida de desenvolvimento de sistemas (CVDS), do in","O ciclo de vida de desenvolvimento de sistemas (CVDS), do inglês systems development life cycle (SDLC), é, em engenharia de sistemas, sistemas de informação e engenharia de software, um processo de criação ou alteração de sistemas de informação, bem como os modelos e metodologias que as pessoas utilizam para desenvolver esses sistemas. Em engenharia da computação, o conceito de CVDS sustenta muitos tipos de metodologias de desenvolvimento de software. Essas metodologias formam a estrutura (framework) para o planejamento e controle da criação de um sistema de informação: o processo de desenvolvimento de software. O CVDS é utilizado por um analista de sistemas para desenvolver um sistema de informação. Visa produzir um sistema de alta qualidade que atenda ou exceda as expectativas do cliente, seja concluído dentro do tempo",DevOps
Java é uma linguagem de programação orientada a objetos dese,"Java é uma linguagem de programação orientada a objetos desenvolvida na década de 90 por uma equipe de programadores chefiada por James Gosling, na empresa Sun Microsystems, que em 2008 foi adquirido pela empresa Oracle Corporation. Diferente das linguagens de programação modernas, que são compiladas para código nativo, Java é compilada para um bytecode que é interpretado por uma máquina virtual (Java Virtual Machine, abreviada JVM). A linguagem de programação Java é a linguagem convencional da Plataforma Java, mas não é a sua única linguagem. A J2ME é utilizada em jogos de computador, celular, calculadoras, ou até mesmo o rádio do carro. Compreender bem este assunto e essencial para quem atua ou estuda nesta area.",Frontend
"Um aplicativo descentralizado, também conhecido como DApp, é","Um aplicativo descentralizado, também conhecido como DApp, é um aplicativo de computador que funciona em uma",Blockchain
Desenvolvimento de aplicações e sistemas para dispositivos m,"Desenvolvimento de aplicações e sistemas para dispositivos móveis, por vezes utilizado apenas como desenvolvimento mobile é toda atividade e processos acerca do desenvolvimento de software para dispositivos móveis (handheld) como computadores de bolso, PDAs, smartphone, telefone celular, console portátil e Ultra Mobile PC combinado com tecnologias como GPS, TV portátil, touch, consoles, navegador de Internet, WAP, leitores de áudio, vídeo e texto, entre outros.
Estes aplicativos podem ser instalados durante a fabricação do aparelho, através dos sistemas operacionais de cada dispositivo ou distribuído através de arquivos de instalação pela web ou não. O desenvolvimento de aplicações para mobile possui particularidades do desenvolvimento tradicional devido as limitações tanto do processamento, tamanho de tela e área de trabalho, além de estar sempre bombardeado por configurações distintas tanto do hardware quanto do software por parte do fabricantes e suas concorrências.",Mobile
